id,config_path,initial_value,final_value,status,sensitivity_level,toubkal_evidence_level,decision_reason
MDT_MEDIUM_FILE_MULTIPLIER,mdt_estimation.medium_file_multiplier,1.5,1.5,POLICY_CHOICE,HIGH,NOT_TESTED,No controlled medium-file MDTest scenario identifies 1.5. Keep as an explicit high-sensitivity interpolation policy between small and large reference regimes.
MDT_LARGE_FILE_MULTIPLIER,mdt_estimation.large_file_multiplier,1.0,1.0,POLICY_CHOICE,HIGH,NOT_TESTED,1.0 is retained as the large-file reference multiplier. This is a normalization choice rather than an empirically estimated physical constant.
MDT_RANDOM_ACCESS_MULTIPLIER,mdt_estimation.random_access_multiplier,1.4,1.4,POLICY_CHOICE,HIGH,NOT_TESTED,M6 random/shuffled evidence is IOR/OST evidence and cannot validate an MDT access multiplier. Keep 1.4 as policy and do not claim empirical validation.
MDT_MIXED_ACCESS_MULTIPLIER,mdt_estimation.mixed_access_multiplier,1.15,1.15,POLICY_CHOICE,HIGH,PARTIAL_NOT_ISOLATED,M5 shows mixed-workload contention but does not isolate MDT access-pattern demand. Keep 1.15 as policy rather than fitting it from IOR.
MDT_SEQUENTIAL_ACCESS_MULTIPLIER,mdt_estimation.sequential_access_multiplier,1.0,1.0,POLICY_CHOICE,HIGH,NOT_TESTED,1.0 is retained as the MDT access-pattern reference baseline. M6 sequential IOR is OST evidence and does not identify an MDT factor.
MDT_HIGH_METADATA_MULTIPLIER,mdt_estimation.high_metadata_multiplier,1.5,1.5,POLICY_CHOICE,MEDIUM,NOT_ISOLATED,High metadata pressure was not independently varied from file/client scenario shape. Retain 1.5 as an explicit policy prior; S9 shows material numeric impact.
MDT_MEDIUM_METADATA_MULTIPLIER,mdt_estimation.medium_metadata_multiplier,1.2,1.2,POLICY_CHOICE,HIGH,NOT_ISOLATED,Medium metadata pressure was not independently isolated. Retain 1.2 as a policy multiplier with high sensitivity disclosure.
MDT_LOW_METADATA_MULTIPLIER,mdt_estimation.low_metadata_multiplier,1.0,1.0,POLICY_CHOICE,HIGH,PARTIAL,"1.0 is retained as the low-pressure reference baseline; this is a normalization/policy anchor, not a measured Lustre constant."
MDT_IOPS_SAFETY_FACTOR,mdt_estimation.iops_safety_factor,1.25,1.25,POLICY_CHOICE,HIGH,PARTIAL,"M5 shows heterogeneous metadata contention: create/remove change little while stat is much more variable. The evidence does not identify a single MDT headroom factor, so 1.25 is retained as a conservative engineering policy rather than calibrated."
MDT_METADATA_BYTES_PER_FILE,mdt_estimation.metadata_bytes_per_file,4096,4096,POLICY_CHOICE,HIGH,NOT_TESTED,"4096 bytes/file is an engineering footprint proxy. The Toubkal campaign did not measure per-file MDT space consumption, so it remains a clearly labeled policy approximation."
MDT_METADATA_CAPACITY_SAFETY_FACTOR,mdt_estimation.metadata_capacity_safety_factor,2.0,2.0,POLICY_CHOICE,HIGH,NOT_TESTED,2.0 is capacity headroom around the metadata-footprint proxy and was not identified by MDTest. Retain as an explicit conservative policy.
OST_BANDWIDTH_SAFETY_FACTOR,ost_estimation.bandwidth_safety_factor,1.2,1.25,CALIBRATED,HIGH,DIRECT_LOCAL,"Calibrated from 1.20 to 1.25. M5 write throughput fell 18.73% relative to the same-size sequential control M6-A, implying about 1.230x recovery headroom. 1.25 is a conservative rounded value and avoids fitting the exact system-specific observation."
OST_CAPACITY_SAFETY_FACTOR,ost_estimation.capacity_safety_factor,1.0,1.0,SUPPORTED,HIGH,NOT_TESTED,1.0 is supported by the sizing design: growth and free-space headroom are already applied in planned capacity through planning horizon and target fill ratio. Keeping this factor at 1.0 avoids silently double-counting capacity margin.
